"person" "exercise" "timebodyacceleration-mean-x" "timebodyacceleration-mean-y" "timebodyacceleration-mean-z" "timebodyacceleration-std-x" "timebodyacceleration-std-y" "timebodyacceleration-std-z" "timegravityacceleration-mean-x" "timegravityacceleration-mean-y" "timegravityacceleration-mean-z" "timegravityacceleration-std-x" "timegravityacceleration-std-y" "timegravityacceleration-std-z" "timebodyaccelerationjerk-mean-x" "timebodyaccelerationjerk-mean-y" "timebodyaccelerationjerk-mean-z" "timebodyaccelerationjerk-std-x" "timebodyaccelerationjerk-std-y" "timebodyaccelerationjerk-std-z" "timebodygyro-mean-x" "timebodygyro-mean-y" "timebodygyro-mean-z" "timebodygyro-std-x" "timebodygyro-std-y" "timebodygyro-std-z" "timebodygyrojerk-mean-x" "timebodygyrojerk-mean-y" "timebodygyrojerk-mean-z" "timebodygyrojerk-std-x" "timebodygyrojerk-std-y" "timebodygyrojerk-std-z" "timebodyaccelerationmagnitude-mean" "timebodyaccelerationmagnitude-std" "timegravityaccelerationmagnitude-mean" "timegravityaccelerationmagnitude-std" "timebodyaccelerationjerkmagnitude-mean" "timebodyaccelerationjerkmagnitude-std" "timebodygyromagnitude-mean" "timebodygyromagnitude-std" "timebodygyrojerkmagnitude-mean" "timebodygyrojerkmagnitude-std" "frequencybodyacceleration-mean-x" "frequencybodyacceleration-mean-y" "frequencybodyacceleration-mean-z" "frequencybodyacceleration-std-x" "frequencybodyacceleration-std-y" "frequencybodyacceleration-std-z"
1 "WALKING" 0.272815232743516 0.0265531878295965 0.113497082044669 0.561040151435363 0.462024984496542 0.506831220359942 0.816849162599424 0.342688132083573 0.168351703324496 0.959859435936599 0.952340405682997 0.928696767634006 0.157054584732277 0.1247141211317 0.107623630337769 0.537128056883285 0.521968139894525 0.717322274881844 0.111180417933343 0.137201141899135 0.110904102837896 0.686555715201729 0.468371122111671 0.59892454451902 0.136246437536801 0.120573353818444 0.0996260989755908 0.637812687210375 0.635359494804035 0.664591977786455 0.469302849997061 0.513256046457349 0.469302849997061 0.513256046457349 0.547292708919597 0.538036699148242 0.483752652538905 0.514227973455331 0.639517432642651 0.652757267342939 0.551326393552738 0.482731831508818 0.597465016659942 0.56805121165245 0.454918676557089 0.526438479176369
10 "WALKING_DOWNSTAIRS" 0.276238831213675 0.0237213896333761 0.113303638074359 0.524559955470085 0.457788306073504 0.539785038638675 0.834419966923077 0.290920946068376 0.164803653428303 0.964245853333333 0.95273087965812 0.929944344568376 0.180793549340171 0.120751082205855 0.111517196378632 0.504546914028205 0.498879577903547 0.690604755970085 0.144762217022735 0.138736183924645 0.100471157088248 0.599302933045726 0.515098590978633 0.526149574095726 0.154067145935043 0.11576117453953 0.131611225102735 0.632669178589744 0.713441119059829 0.611157529175214 0.473965308584872 0.496010855993487 0.473965308584872 0.496010855993487 0.496857287557474 0.482765235872222 0.448313640640171 0.555229303801367 0.670402026880342 0.714863988119658 0.494821499534188 0.464027561849145 0.574247964752991 0.538285719937607 0.464055602782479 0.563347117595727
10 "WALKING_UPSTAIRS" 0.2792260805 0.02169064064 0.1082356298 0.976914667166667 0.929141091633333 0.972264913 0.7719350335 0.4421079355 0.167424043833333 0.9719009915 0.961517524833333 0.973718302333333 0.0784441745833333 0.0271417494938333 0.0125923376135 0.977836345 0.962510329833333 0.9852148295 0.0356598877033333 0.078831989369 0.1332060934 0.970429545833333 0.976850974833333 0.957569497 0.0984885261 0.0394697447833333 0.06279620737 0.978483352166667 0.983924353 0.982318139166667 0.9617663145 0.942239747 0.9617663145 0.942239747 0.978933889 0.970288294833333 0.948394682666667 0.946460267166667 0.984314541333333 0.979257408333333 0.975310696833333 0.940255585 0.976061050166667 0.978249844833333 0.928300078783333 0.971528370666667
11 "WALKING_UPSTAIRS" 0.27658531139557 0.0228288146571835 0.108941761642405 0.63266569786962 0.526211938056329 0.665324314227848 0.779168120316456 0.35969427365 0.140209861246835 0.975394457689873 0.957138770727848 0.956812000411392 0.151003652237342 0.0974232318732279 0.0748551634874684 0.661088713318354 0.610676784235759 0.842511816044304 0.126224861975791 0.11422243814462 0.113641319229002 0.740261584877532 0.703501766487342 0.725016008797468 0.121508967260759 0.0753069453227848 0.0826056803302215 0.781738140601266 0.868377254082279 0.795490882468354 0.580462376384494 0.630959093557595 0.580462376384494 0.630959093557595 0.679819504547468 0.665632322224683 0.629127486041139 0.700868812456646 0.826829028481013 0.866905012626582 0.63751347369557 0.558574695647342 0.750026145791139 0.633440641508861 0.523648083766772 0.652277649538924
12 "SITTING" 0.275639357761194 0.0220469443420896 0.107917262447761 0.557363231037313 0.542544994377612 0.722443639029851 0.807382470298507 0.377240016124627 0.0611967734664179 0.973039656865672 0.961684570149254 0.956887170522388 0.151294072023881 0.111148339652388 0.0598952936188955 0.587796738768657 0.555135772764105 0.813044700746269 0.144804013155224 0.106184543204478 0.0970976660670149 0.677699405773881 0.680398804104478 0.699245741395522 0.12538985341791 0.0691868940835821 0.0867614367852985 0.632572666246269 0.786312781716418 0.727235966514925 0.537506096813433 0.559377245400746 0.537506096813433 0.559377245400746 0.573924466231343 0.582431666147015 0.587243823152239 0.642076447532537 0.735015701865672 0.747392923656716 0.559155702123134 0.550369850199254 0.75610207 0.564486506624627 0.540480982532836 0.728469606492537
12 "WALKING_DOWNSTAIRS" 0.277748612526882 0.0207871769253574 0.107490700376344 0.642721465150538 0.610787743209677 0.683161912543011 0.865553662569893 0.244987163755376 0.197006986584086 0.968296443387097 0.959772033870968 0.93954763188172 0.130282603304301 0.0725375529024731 0.0756844179049462 0.652589004096774 0.666013803164731 0.777908761827957 0.115352394104355 0.10479586586129 0.117242958433333 0.764316840252151 0.774444433548387 0.650750149365591 0.114669104358602 0.0579922180365591 0.0967583185962366 0.772069692150538 0.829185586182796 0.775458577365591 0.613140931425269 0.642232028601613 0.613140931425269 0.642232028601613 0.684974084575269 0.641157431056989 0.667463343150538 0.722177465698925 0.807753381612903 0.817815795430108 0.642225574791935 0.622719184939785 0.705415178817204 0.644751222521505 0.631686649903763 0.698642848225806
13 "SITTING" 0.275895876198777 0.0239898650681957 0.11236337542844 0.636185557550153 0.583467473690367 0.59290575611682 0.769475641073395 0.328265599370031 0.236057718261254 0.967268063455658 0.953540716850153 0.942158829938838 0.117407512037936 0.107609707934731 0.0955038013285046 0.649888157810703 0.612108740094128 0.728452966311927 0.123188182156795 0.125616739496269 0.122290101576086 0.720219749764526 0.653106383269113 0.643631620850153 0.126116583249847 0.0941093537917431 0.108806555357492 0.717483471174312 0.724534785880734 0.712716428498471 0.553615783944954 0.61223404519419 0.553615783944954 0.61223404519419 0.627741271047706 0.623671979706025 0.591473874937615 0.644295679562691 0.712745036012232 0.7168740255 0.649989632589908 0.577593157809908 0.63241176498685 0.633633522795107 0.585936172951988 0.604215956660092
14 "WALKING_DOWNSTAIRS" 0.284089997668033 0.0274178171623361 0.110966381413115 0.510416650246721 0.469813672468197 0.5548724017325 0.717515680819672 0.280382401139344 0.456771875348361 0.946142389262295 0.934878446827869 0.914222420655738 0.142421227645205 0.118384224575 0.172929923441762 0.554716839351885 0.537509145008607 0.560655091733525 0.124609132540041 0.152147955471311 0.197926815372131 0.649305014086066 0.481924027089959 0.552834770909016 0.133512770755848 0.135223221056922 0.173101849762705 0.723150613606557 0.612999779040984 0.568010768773771 0.423571042298361 0.507062961847951 0.423571042298361 0.507062961847951 0.516670402603689 0.56026791207332 0.476383071790615 0.472547767434426 0.609411171265984 0.654390866127049 0.525550260344672 0.455472572437295 0.464832574256557 0.508988984323975 0.463956305752049 0.569562045907336
14 "WALKING_UPSTAIRS" 0.281691180506329 0.0193786719037975 0.108229084562785 0.975494321518987 0.944189643417721 0.943891439113924 0.730257020544304 0.240705447117722 0.390879975050633 0.967502936708861 0.965538336582279 0.952893375063291 0.0773017082381013 0.0208856393388354 0.0197408110184684 0.985306933037975 0.978904104303797 0.980713290253165 0.0379197302481013 0.103295097098734 0.112893371936709 0.973762051772152 0.962039041139241 0.967101618101266 0.100542747126582 0.0432209965822785 0.0572578443365823 0.981309872025316 0.982321302658228 0.986841167088608 0.954651726708861 0.944706586962025 0.954651726708861 0.944706586962025 0.982660079367089 0.981714665063291 0.945647504556962 0.94746971556962 0.98548876278481 0.980252790253165 0.977590046582278 0.957021698227848 0.959720590506329 0.974837439746835 0.941020529113924 0.939615462658228
15 "WALKING_DOWNSTAIRS" 0.27821340725 0.0236333926922256 0.113016658533537 0.66513657508689 0.588754518373079 0.705826128143293 0.764381657390244 0.367983244807927 0.138844585758262 0.968733398628049 0.957680855396342 0.947240058048781 0.146053829969512 0.108352810494277 0.0744798753074604 0.659244307792683 0.625804887308567 0.825820881576219 0.113727106566372 0.117768815600244 0.102573297866951 0.697244876228658 0.708844532058537 0.721826987530488 0.127688326914939 0.0827274454334451 0.0931313565881098 0.731382711036585 0.853956592073171 0.795626198384146 0.616141720988293 0.648726976474817 0.616141720988293 0.648726976474817 0.661989584101616 0.66688845056311 0.619719030125305 0.675727667657622 0.805282669512195 0.837120078079268 0.647681816128049 0.598286849875335 0.741745724698171 0.672941161454268 0.578318791904726 0.712212387612805
